0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1.0,0.0,0.0,0.88,1.0,0.0,0.0,1.36,0.0,0.0,0.87,0.12,0.0,0.48,1.17,1.41,0.0,0.0,0.68,0.81,0.43,0.37,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4.0,0.0,0.10300000000000001,0.88,1.0,0.0,0.21,1.26,0.0,0.27,0.47,0.21,0.0,0.38,0.94,0.94,0.07,0.0,0.25,1.42,0.6,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.0,0.0,0.207,0.88,1.0,0.0,0.15,1.41,0.0,0.27,0.52,0.02,0.0,0.34,0.91,0.69,0.62,0.0,0.54,1.68,1.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10.0,0.0,0.31,0.88,1.0,0.0,0.05,1.15,0.0,0.27,0.89,0.0,0.0,0.33,0.45,0.53,0.7,0.0,0.4,1.73,0.86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,0.0,0.414,0.88,1.0,0.0,0.0,0.92,0.0,0.21,1.06,0.0,0.0,0.23,0.12,0.51,0.94,0.0,0.55,1.95,0.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16.0,0.0,0.517,0.88,1.0,0.0,0.0,0.9,0.0,0.08,1.34,0.02,0.0,0.23,0.0,0.72,0.8,0.0,0.66,2.03,1.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19.0,0.0,0.621,0.88,1.0,0.0,0.0,0.84,0.0,0.29,0.3,0.22,0.11,0.07,0.63,1.09,0.68,0.02,0.89,0.68,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22.0,0.0,0.7240000000000001,0.88,1.0,0.0,0.0,0.3,0.18,0.45,0.0,0.85,0.84,0.0,0.43,1.44,0.44,0.0,0.49,1.34,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.828,0.82,1.0,0.0,0.0,0.4,0.41,0.02,0.0,0.79,0.85,0.0,0.0,2.14,0.28,0.04,0.34,0.31,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.9309999999999999,0.82,1.0,0.0,0.0,0.43,0.22,0.04,0.0,0.35,0.67,0.0,0.1,1.08,0.52,0.01,0.51,1.48,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,1.034,0.88,1.0,0.0,0.0,0.73,0.12,0.11,0.0,0.65,0.47,0.0,0.17,0.42,0.84,0.0,0.53,0.27,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,1.138,0.88,1.0,0.0,0.0,0.84,0.0,0.29,0.0,0.8,0.52,0.0,0.01,0.96,0.65,0.0,0.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,1.2409999999999999,0.88,1.0,0.0,0.0,0.9,0.0,0.27,0.0,0.39,0.11,0.0,0.0,0.49,0.46,0.02,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,1.345,0.88,1.0,0.0,0.0,1.13,0.04,0.17,0.0,0.06,0.36,0.0,0.0,0.64,0.64,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,1.4480000000000002,0.88,1.0,0.0,0.0,1.1,0.06,0.27,0.0,0.0,0.47,0.0,0.1,0.37,0.56,0.04,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,1.5519999999999998,0.88,1.0,0.0,0.0,0.9,0.0,0.37,0.0,0.0,0.75,0.0,0.25,0.02,0.23,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,1.655,0.88,1.0,0.0,0.0,0.99,0.0,0.18,0.0,0.0,0.99,0.0,0.66,0.0,0.25,0.0,0.0,0.91,0.01,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52.0,0.0,1.7590000000000001,0.93,1.0,0.0,0.0,0.79,0.0,0.01,0.0,0.0,0.86,0.0,0.61,0.26,0.23,0.0,0.0,0.97,0.16,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55.0,0.0,1.8619999999999999,0.88,1.0,0.0,0.0,0.68,0.0,0.13,0.0,0.0,0.8,0.0,0.2,0.15,0.36,0.0,0.0,0.6,0.0,0.52,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58.0,0.0,1.966,0.88,1.0,0.0,0.0,0.96,0.0,0.14,0.0,0.0,1.02,0.0,0.39,0.0,0.39,0.0,0.0,0.85,0.0,0.35,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61.0,0.0,2.069,0.93,1.0,0.0,0.1,0.77,0.0,0.2,0.0,0.0,0.96,0.0,0.77,0.0,0.37,0.0,0.0,0.65,0.06,0.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64.0,0.0,2.1719999999999997,0.88,1.0,0.0,0.0,0.43,0.0,0.12,0.0,0.04,0.93,0.0,0.36,0.0,0.51,0.01,0.0,0.33,0.11,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,2.276,0.88,1.0,0.0,0.0,0.69,0.0,0.09,0.0,0.04,0.81,0.0,0.38,0.0,0.45,0.01,0.0,0.16,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,2.379,0.88,1.0,0.0,0.0,0.86,0.0,0.05,0.0,0.08,0.75,0.0,0.26,0.0,0.15,0.0,0.0,0.45,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,2.483,0.88,1.0,0.0,0.0,0.53,0.0,0.07,0.0,0.08,0.83,0.0,0.47,0.0,0.0,0.14,0.0,0.65,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76.0,0.0,2.5860000000000003,0.88,1.0,0.0,0.0,0.58,0.0,0.02,0.0,0.09,0.7,0.0,0.08,0.0,0.0,0.18,0.0,0.78,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
79.0,0.0,2.69,0.88,1.0,0.0,0.0,0.89,0.0,0.05,0.0,0.14,0.71,0.0,0.14,0.0,0.03,0.18,0.0,0.65,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82.0,0.0,2.793,0.88,1.0,0.0,0.0,0.84,0.0,0.07,0.0,0.07,0.7,0.0,0.11,0.0,0.02,0.18,0.0,0.6,0.0,0.34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85.0,0.0,2.897,0.88,1.0,0.0,0.0,0.77,0.0,0.28,0.0,0.06,0.56,0.0,0.08,0.0,0.02,0.25,0.0,0.68,0.0,0.28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88.0,0.0,3.0,0.93,1.0,0.0,0.0,0.77,0.0,0.45,0.0,0.15,0.51,0.0,0.11,0.0,0.12,0.21,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91.0,0.0,3.103,0.98,1.0,0.0,0.0,0.67,0.0,0.57,0.0,0.28,0.78,0.0,0.29,0.0,0.42,0.0,0.0,0.48,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,0.0,3.207,0.88,1.0,0.0,0.0,1.17,0.0,0.47,0.0,0.08,0.87,0.0,0.46,0.0,0.28,0.0,0.0,1.05,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,0.0,3.31,0.93,1.0,0.0,0.0,0.99,0.0,0.37,0.0,0.17,0.57,0.0,0.1,0.0,0.41,0.0,0.11,0.7,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,3.4139999999999997,0.88,1.0,0.0,0.0,0.74,0.0,0.28,0.0,0.05,0.59,0.0,0.3,0.0,0.46,0.0,0.1,0.39,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,0.0,3.517,0.88,1.0,0.0,0.0,0.83,0.0,0.05,0.0,0.03,0.55,0.0,0.28,0.0,0.41,0.0,0.0,0.65,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.0,0.0,3.6210000000000004,0.93,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.86,0.0,0.34,0.07,0.31,0.0,0.0,0.6,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,0.0,3.7239999999999998,0.88,1.0,0.0,0.0,0.8,0.0,0.01,0.0,0.0,0.87,0.0,0.33,0.0,0.41,0.0,0.0,0.79,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112.0,0.0,3.8280000000000003,0.88,1.0,0.0,0.0,0.43,0.0,0.08,0.0,0.0,0.57,0.0,0.5,0.0,0.67,0.05,0.0,0.37,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115.0,0.0,3.931,0.98,1.0,0.0,0.0,0.33,0.0,0.31,0.0,0.05,0.14,0.0,0.3,0.0,0.92,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
118.0,0.0,4.034,0.98,1.0,0.0,0.0,0.3,0.0,0.5,0.0,0.15,0.05,0.0,0.5,0.0,0.93,0.2,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
121.0,0.0,4.138,0.98,1.0,0.0,0.0,0.46,0.0,0.56,0.0,0.16,0.06,0.02,0.61,0.0,0.84,0.56,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
124.0,0.0,4.2410000000000005,0.98,1.0,0.0,0.0,0.39,0.0,0.78,0.0,0.29,0.39,0.06,0.66,0.0,1.15,0.84,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
127.0,0.0,4.345,0.88,1.0,0.0,0.0,0.81,0.0,0.67,0.35,0.99,0.38,0.2,0.12,0.5,0.27,1.41,0.0,0.14,0.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
130.0,0.0,4.448,0.77,1.0,0.0,0.0,0.02,0.0,0.26,0.57,0.19,0.07,0.22,0.16,0.0,1.29,1.42,0.04,0.32,1.31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
133.0,0.0,4.552,0.88,1.0,0.0,0.0,0.0,0.63,0.0,0.0,0.01,0.16,0.0,0.59,0.16,1.02,1.36,0.02,0.22,0.54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
136.0,0.0,4.655,0.88,1.0,0.0,0.0,0.0,0.69,0.69,0.0,0.45,0.43,0.33,1.41,0.36,0.73,1.44,0.0,0.21,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
139.0,0.0,4.7589999999999995,0.82,1.0,0.03,0.0,0.71,0.48,0.99,0.0,1.18,0.25,0.01,1.9,0.06,0.99,0.37,0.0,0.56,0.29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
142.0,0.0,4.862,0.88,1.0,0.0,0.0,1.11,0.33,0.55,0.0,0.43,0.16,0.0,1.18,0.04,1.04,0.15,0.01,0.11,0.06,0.03,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
145.0,0.0,4.966,0.88,1.0,0.0,0.0,0.9,0.06,0.67,0.0,0.18,0.52,0.0,1.03,0.0,0.68,1.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
148.0,0.0,5.069,0.88,1.0,0.0,0.0,0.71,0.01,0.42,0.0,0.12,0.41,0.0,0.87,0.0,0.74,1.03,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
151.0,0.0,5.172000000000001,0.88,1.0,0.0,0.0,0.67,0.0,0.45,0.0,0.08,0.37,0.0,0.82,0.0,0.72,1.15,0.17,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
154.0,0.0,5.276,0.88,1.0,0.0,0.0,0.5,0.0,0.45,0.0,0.0,0.5,0.0,0.74,0.0,0.77,1.11,0.12,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
157.0,0.0,5.379,0.88,1.0,0.0,0.0,0.63,0.0,0.44,0.0,0.0,0.39,0.0,0.75,0.0,1.14,1.08,0.07,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
160.0,0.0,5.483,0.88,1.0,0.0,0.0,0.12,0.0,0.47,0.0,0.0,0.54,0.0,0.66,0.0,1.38,0.94,0.06,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
163.0,0.0,5.586,0.88,1.0,0.0,0.0,0.26,0.0,0.45,0.0,0.0,0.52,0.0,0.7,0.0,1.36,0.85,0.14,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
