0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1.0,0.0,0.0,0.93,1.0,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.05,0.2,1.03,0.0,0.71,0.0,0.39,0.0,0.03,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.10300000000000001,0.93,1.0,0.0,0.0,0.0,0.0,0.03,0.35,0.0,0.07,0.15,0.59,0.0,0.86,0.22,0.46,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.207,0.93,1.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.2,0.47,0.0,0.91,0.22,0.47,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.31,0.93,1.0,0.0,0.0,0.0,0.17,0.0,0.42,0.0,0.0,0.19,0.32,0.0,0.95,0.25,0.57,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.414,0.93,1.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.15,0.28,0.62,0.0,1.06,0.31,0.62,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.517,0.88,1.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.11,0.39,0.0,0.99,0.24,0.57,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.621,0.88,1.0,0.0,0.0,0.08,0.0,0.0,0.36,0.0,0.0,0.0,0.33,0.0,0.86,0.22,0.62,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.7240000000000001,0.93,1.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.54,0.0,0.95,0.21,0.56,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25.0,0.0,0.828,0.93,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.54,0.0,0.73,0.3,0.13,0.0,0.04,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28.0,0.0,0.9309999999999999,0.93,1.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.07,0.06,0.17,0.0,0.7,0.32,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31.0,0.0,1.034,0.98,1.0,0.0,0.0,0.0,0.22,0.01,0.0,0.0,0.32,0.13,0.11,0.0,0.53,0.03,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.0,0.0,1.138,0.98,1.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.4,0.08,0.41,0.0,0.36,0.15,0.0,0.17,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37.0,0.0,1.2409999999999999,0.98,1.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.25,0.03,0.36,0.0,0.5,0.04,0.0,0.2,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40.0,0.0,1.345,0.93,1.0,0.0,0.0,0.0,0.03,0.82,0.0,0.05,0.44,0.0,0.39,0.0,0.51,0.01,0.0,0.53,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,1.4480000000000002,0.93,1.0,0.0,0.0,0.0,0.03,0.69,0.0,0.04,0.37,0.0,0.49,0.0,0.6,0.0,0.0,0.55,0.07,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,1.5519999999999998,0.93,1.0,0.0,0.0,0.0,0.0,0.49,0.0,0.15,0.27,0.0,0.32,0.0,0.42,0.0,0.0,0.51,0.21,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,1.655,0.93,1.0,0.0,0.0,0.0,0.0,0.52,0.0,0.1,0.46,0.0,0.24,0.0,0.4,0.0,0.0,0.4,0.03,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,1.7590000000000001,0.93,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.06,0.43,0.02,0.21,0.06,0.42,0.0,0.0,0.55,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,1.8619999999999999,0.93,1.0,0.0,0.0,0.0,0.0,0.61,0.0,0.07,0.45,0.02,0.13,0.06,0.37,0.0,0.0,0.5,0.1,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,0.0,1.966,0.98,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.03,0.55,0.0,0.08,0.02,0.26,0.0,0.0,0.3,0.07,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,2.069,0.98,1.0,0.0,0.0,0.0,0.0,0.68,0.0,0.08,0.51,0.0,0.13,0.03,0.28,0.0,0.0,0.14,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,2.1719999999999997,0.98,1.0,0.0,0.0,0.0,0.0,0.66,0.0,0.24,0.39,0.0,0.12,0.02,0.11,0.0,0.0,0.34,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,2.276,0.93,1.0,0.0,0.0,0.0,0.0,0.64,0.0,0.21,0.4,0.0,0.4,0.0,0.1,0.0,0.02,0.33,0.18,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,2.379,0.93,1.0,0.0,0.0,0.0,0.0,0.66,0.0,0.16,0.43,0.0,0.29,0.0,0.12,0.0,0.03,0.37,0.12,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
